Time,Wave_Height
5.42,-0.00343935376444032
5.43,-0.0034889726972209
5.44,-0.00353884713222766
5.45,-0.00358895850939304
5.46,-0.00363928771492884
5.47,-0.00368981507467084
5.48,-0.00374052034771748
5.49,-0.00379138272038637
5.5,-0.00384238080051022
5.51,-0.00389349261209549
5.52,-0.00394469559036609
5.53,-0.00399596657721511
5.54,-0.00404728181708713
5.55,-0.0040986169533134
5.56,-0.00414994702492273
5.57,-0.00420124646395021
5.58,-0.00425248909326565
5.59,-0.00430364812494383
5.6,-0.00435469615919813
5.61,-0.00440560518389825
5.62,-0.00445634657469386
5.63,-0.00450689109576376
5.64,-0.00455720890121076
5.65,-0.00460726953712257
5.66,-0.00465704194431652
5.67,-0.00470649446178779
5.68,-0.00475559483087825
5.69,-0.0048043102001835
5.7,-0.00485260713121455
5.71,-0.00490045160483026
5.72,-0.00494780902845528
5.73,-0.00499464424409822
5.74,-0.0050409215371834
5.75,-0.00508660464620883
5.76,-0.00513165677324217
5.77,-0.00517604059526569
5.78,-0.00521971827637996
5.79,-0.00526265148087549
5.8,-0.00530480138717944
5.81,-0.00534612870268546
5.82,-0.00538659367947135
5.83,-0.00542615613090954
5.84,-0.00546477544917439
5.85,-0.00550241062364802
5.86,-0.00553902026022615
5.87,-0.00557456260152404
5.88,-0.00560899554798143
5.89,-0.00564227667986312
5.9,-0.0056743632801531
5.91,-0.00570521235833556
5.92,-0.00573478067505751
5.93,-0.00576302476766518
5.94,-0.00578990097660522
5.95,-0.00581536547268043
5.96,-0.00583937428514866
5.97,-0.00586188333065189
5.98,-0.0058828484429611
5.99,-0.00590222540352178
6,-0.00591996997278262
6.01,-0.00593603792228966
6.02,-0.00595038506752584
6.03,-0.00596296730147536
6.04,-0.00597374062889043
6.05,-0.00598266120123693
6.06,-0.00598968535229402
6.07,-0.00599476963438169
6.08,-0.00599787085518874
6.09,-0.00599894611517214
6.1,-0.00599795284549874
6.11,-0.00599484884649732
6.12,-0.0059895923265887
6.13,-0.00598214194166122
6.14,-0.00597245683485594
6.15,-0.0059604966767263
6.16,-0.00594622170573531
6.17,-0.00592959276905247
6.18,-0.00591057136361127
6.19,-0.00588911967738758
6.2,-0.00586520063085806
6.21,-0.00583877791859676
6.22,-0.00580981605096751
6.23,-0.00577828039586839
6.24,-0.00574413722048453
6.25,-0.00570735373300394
6.26,-0.005667898124251
6.27,-0.00562573960919147
6.28,-0.00558084846826203
6.29,-0.00553319608847722
6.3,-0.00548275500426596
6.31,-0.00542949893798959
6.32,-0.00537340284009264
6.33,-0.00531444292883786
6.34,-0.00525259672957588
6.35,-0.0051878431135009
6.36,-0.00512016233584279
6.37,-0.00504953607344566
6.38,-0.00497594746168444
6.39,-0.00489938113066916
6.4,-0.00481982324068837
6.41,-0.00473726151684206
6.42,-0.0046516852828161
6.43,-0.00456308549374865
6.44,-0.0044714547681416
6.45,-0.0043767874187684
6.46,-0.00427907948253195
6.47,-0.00417832874922554
6.48,-0.004074534789151
6.49,-0.00396769897954932
6.5,-0.00385782452979875
6.51,-0.0037449165053372
6.52,-0.00362898185026636
6.53,-0.00351002940859541
6.54,-0.00338806994408433
6.55,-0.00326311615864684
6.56,-0.00313518270927468
6.57,-0.00300428622344619
6.58,-0.00287044531298304
6.59,-0.00273368058632117
6.6,-0.00259401465916192
6.61,-0.00245147216347251
6.62,-0.00230607975480515
6.63,-0.00215786611790652
6.64,-0.00200686197059012
6.65,-0.00185310006584707
6.66,-0.00169661519217055
6.67,-0.00153744417207302
